Voltage.EMG01_r_gastro,Voltage.EMG02_r_soleus,Voltage.EMG03_r_rect_fem,Voltage.EMG04_r_tfl,Voltage.EMG05_r_semimemb,Voltage.EMG06_l_gastro,Voltage.EMG07_l_soleus,Voltage.EMG08_l_rect_fem,Voltage.EMG09_l_tfl,Voltage.EMG10_l_semimemb,
-0.008198853,-0.180762023,0.023843994,0.04955963,0.039630126,0.032615967,0.037857361,0.034836732,0.034585573,0.036247253,
0.000346069,-0.130255431,0.059244383,0.037505187,0.039019775,0.026359864,0.027481385,0.033921205,0.018869018,0.036247253,
0.012095337,-0.077917784,0.079691164,0.01629547,0.039477538,0.043449707,0.024734803,0.036972962,0.050454713,0.032279968,
0.025980836,-0.047095031,0.054056395,0.00698761,0.015368653,0.03170044,0.021072693,0.01103302,0.036111452,0.039604187,
0.025980836,-0.028174134,0.026590576,-0.002167664,0.031695556,-0.011787109,0.023819275,0.035599671,0.028787231,0.021141052,
0.030100709,-0.035803527,0.022165528,0.007292786,0.030780029,0.02803833,0.03648407,0.044297181,0.038552858,0.033805847,
0.033457641,-0.039313048,0.023843994,0.016448058,0.040240478,0.031090088,0.023971863,0.030716859,0.032144167,0.014732361,
0.045664672,-0.03626129,0.0413916,0.012175598,0.01048584,0.032005616,0.030075379,0.010880432,0.032144167,0.028007507,
0.047495726,0.010583191,0.031931151,0.018431701,0.041308593,0.030021973,0.021072693,0.031937562,0.038095094,0.025413513,
0.007365112,0.044457704,0.034982909,0.024230041,0.035510253,0.013695069,0.04441864,0.036515199,0.035195924,0.021751404,
0.073130496,0.062920839,0.027353516,0.01995758,0.027880859,0.02300293,0.032974549,0.028580628,0.014749145,0.019309998,
0.085184939,0.068871766,0.033151854,0.016753234,0.026049804,0.022545166,0.031753846,0.042160951,0.051675417,0.037162781,
0.081065066,0.101830751,0.016977539,0.025145568,0.036578368,0.035667725,0.034653015,0.041245423,0.037484743,0.027549744,
0.072520144,0.095269471,0.018656006,0.018279113,0.017962646,0.04756958,0.044266053,0.018509828,0.042367555,0.021751404,
0.096018679,0.092675477,0.026895752,0.031401671,0.035205077,0.033378907,0.036636658,0.039566956,0.017953491,0.021751404,
0.096323855,0.071618348,0.000803223,0.028349914,0.040698241,0.033378907,0.035110779,0.028580628,0.025888061,0.023887634,
0.040171508,0.10045746,0.037882078,0.000884094,0.034747314,0.036430664,0.027328797,0.026139222,0.031991579,0.017173767,
-0.049855348,0.105187684,0.032541502,0.039336242,0.02055664,0.032463379,0.027939148,0.020646058,0.035195924,0.02205658,
-0.054127809,0.166833192,0.033151854,0.053984679,0.022998046,0.016441651,0.052505799,0.025834046,0.040689088,0.049064636,
-0.078847043,0.160424501,0.018503418,0.048338927,0.033221435,0.015526123,0.030533142,0.028580628,0.03260193,0.025718689,
-0.000874634,0.135247499,0.018503418,0.043150939,0.038104247,0.023613282,0.046249695,0.03712555,0.028024292,0.04372406,
0.025980836,0.008141785,0.020334473,0.025298156,0.039019775,0.042076416,0.024582215,0.035599671,0.034127809,0.020988464,
0.038493041,-0.147803038,0.010263672,0.039641418,0.035052489,0.054283448,0.037704773,0.020340882,0.030770874,0.017478943,
0.017588502,-0.120489806,0.026590576,0.043303527,0.049395751,0.039482422,0.017105408,0.035904847,0.024057006,0.02205658,
0.041849975,-0.055639952,0.039865721,0.033385314,0.036425781,0.031395264,0.039688416,0.030869447,0.022225952,-0.000831604,
0.034983519,-0.007269592,0.039102782,0.053984679,0.030169677,0.030784912,0.042129822,0.019730531,0.045571901,0.031059265,
0.035441283,-0.000708313,0.023843994,0.012328186,0.02345581,0.021629639,0.055404969,0.024460755,0.031228637,0.021446228,
0.023386842,0.014245301,0.033609618,0.030486144,0.033068847,0.02010376,0.029312439,0.039109193,0.04129944,0.052116394,
0.054514769,0.006768493,0.021402588,0.029723205,0.035968017,0.031090088,0.044571228,0.035752259,0.036111452,0.0104599,
0.036814574,0.041253358,0.038339842,0.047728576,0.036120605,0.023155518,0.041672058,0.030564271,0.035195924,0.016105652,
0.02353943,-0.006811829,0.029489746,0.034300841,0.02849121,0.02803833,0.041977234,0.056504212,0.019326782,0.014122009,
0.020792847,0.067498475,0.03345703,0.046050109,0.038256835,0.017052002,0.021225281,0.035141908,0.026803588,0.025871277,
0.026133424,0.047814637,0.034372557,0.069243468,0.040393066,0.032005616,-0.007461243,0.02415558,0.034585573,0.0104599,
0.051920775,0.018212585,0.015299072,0.031859435,-0.004925537,0.019035645,0.022903748,0.009507141,0.042214967,0.03212738,
0.03925598,0.007989197,0.044443358,0.042235412,0.026965331,0.03963501,0.032211609,0.027512513,0.042367555,0.048454285,
-0.004536743,-0.029089661,0.038339842,-0.012696228,0.035052489,0.022087403,0.022598572,0.026444398,0.048776247,0.058677673,
0.01697815,-0.044195861,0.032083739,0.00988678,0.030932616,0.018730469,0.027481385,0.024918519,0.028329467,0.020683289,
0.041544799,-0.010626526,0.040476073,0.01705841,0.028948974,0.0208667,0.029770203,0.032242738,0.032449342,0.015800476,
